# Loginserver Packets

0x2, SMVersionCheckResult
0xAD1A, SMPcBattlefieldMercenaryJoinHistoryResult
0x4E02, SMPCCreateResult
0xC12E, SMPCDatabaseResetNotify
0x7882, SMPCDeleteResult
0x758A, SMPCHelmetHideNotify
0x3BF2, SMPCHelmetHideResult
0xA5, SMPCIdentifyResult
0x7505, SMPCInspectResult
0x7CDC, SMPCJumpingModeResult
0x3B50, SMPCListExcessResult
0xE7BC, SMPCLookChangeResult
0x2582, SMPCNameChangeNotify
0x4D70, SMPCNameChangeResult
0x1952, SMPCNameCheckResult
0x99A7, SMPCRestoreResult
0x2412, SMPCRoomRequestRewardResult
0xC34F, SMPCSlotExpandResult
0x8BC4, SMPCSwapResult
0x24C2, SMPeriodQuestBookmarkRequestNotify
0x26FA, SMPeriodQuestInitPeriodDataNotify
0xE24F, SMPeriodQuestOptionRequestResult
0xD488, SMPeriodQuestRefreshRequestNotify
0xC3F5, SMPeriodUpdateStatNotify
0xD29D, SMPermanentAttrAcquireNotify
0xB74, SMPermanentAttrUpdateNotify
0x5AEC, SMPetAddNotify
0x2C6C, SMPetAutoLootingSetupResult
0x41F6, SMPetEffectChangeResult
0x76C8, SMPetEffectConfirmResult
0xE0B7, SMPetInteractionEndResult
0x3AB5, SMPetInteractionStartResult
0x7319, SMPetInvenItemStoreResult
0xBD51, SMPetNameChangeResult
0x2577, SMPetRemoveNotify
0xCEA1, SMPetSummonChangeNotify
0x8476, SMPetSummonResult
0x585, SMPetUnsummonResult
0x6500, SMPickupDropBoxResult
0x2F5, SMPickupItemNotify
0x90A1, SMPickupObjectResult
0x3AD7, SMPickupPropHitCountNotify
0xD86B, SMPickupPropSkillCountNotify
0xA70D, SMPickupPropStatusNotify
0x37C2, SMPlayerClassChangeNotify
0xFEF, SMPlayerClassPreviewNotify
0xA95A, SMPlayerClassPreviewResult
0xD79C, SMPolymorphNotify
0xB450, SMPolymorphPcNotify
0xE802, SMPong
0x6F03, SMPortalTicketAnswerNotify
0x370C, SMPortalTicketCreateNotify
0x3CDF, SMProjectileDisappearNotify
0x2241, SMProjectileHitNotify
0x5E3D, SMProjectileSteerNotify
0x70B3, SMPropCollectingAddNotify
0x840, SMPropJointMemberNotify
0x6BC8, SMPropNameChangeNotify
0x7A83, SMPropStateNotify
0x5D8C, SMPropTouchCountNotify
0xB8C6, SMPvpForcedActionNotify
0x3E46, SMPvPInfoResult
0xED0, SMPvPStatisticResult
0x3511, SMQuestAsk
0xDB40, SMQuestBulkCompleteNotify
0xDE07, SMQuestCompleteResult
0x1B76, SMQuestDeleteResult
0x1A5E, SMQuestGatherPointAddNotify
0x6A0F, SMQuestItemAddResult
0x4393, SMQuestItemCooldownNotify
0x90B3, SMQuestItemCountResult
0xA728, SMQuestItemRemoveResult
0x9B4A, SMQuestMedalResult
0xD41A, SMQuestObjectiveFailNotify
0x341, SMQuestPointRewardRequestResult
0x204A, SMQuestPointUpdateNotify
0x32FD, SMQuestStageCompleteError
0xE13E, SMQuestStartResult
0x848, SMQuestUpdate
0x4148, SMQuickSlotMoveResult
0x5DB9, SMQuickSlotRemoveResult
0x9B82, SMRaidBegin
0xB4F6, SMRaidBossKillNotify
0x7712, SMRaidDungeonLeaveVoteCastResult
0xE1B5, SMRaidDungeonLeaveVoteRequestNotify
0x51E6, SMRaidDungeonLeaveVoteResult
0x91C6, SMRaidEntryNotify
0x3E26, SMRaidLicenseUpdateResult
0x5B2B, SMRaidResult
0x1F95, SMRaidStartReconfirmResult
0x21D2, SMRaidStartResult
0x8F27, SMRaidStatusUpdateNotify
0x3BB4, SMRaidTimerStart
0xB9A9, SMRaidUpdateBraveHeart
0xD981, SMRaidVoteCastResult
0x1127, SMRaidVoteResult
0x66E6, SMRaidVoteStartNotify
0x9E92, SMRecalledToDungeonNotify
0xE44, SMRecallPartyMemberToDungeonResult
0x4F1B, SMRemoveDropBoxPartial
0x3BAE, SMRemoveObject
0x36B3, SMRemoveWorldIslandData
0xC8B, SMRePartyJoinRejectNotify
0xD0E4, SMRePartyQuery
0x7305, SMReverseRuinEnvNotify
0xA981, SMReverseRuinNextRoomVoteNotify
0x1BA6, SMReverseRuinProceedNotify
0x6069, SMReverseRuinRewardNotify
0x468B, SMReverseRuinStageInit
0x7879, SMReverseRuinStageStartVoteNotify
0x16A4, SMReverseRuinStageUpdate
0x4CA6, SMReverseRuinState
0x1498, SMReviveInfo
0xDBD7, SMReviveNotify
0xA67C, SMRotateNotify
0xCFB7, SMSailAddResult
0x91A7, SMSailRemoveResult
0x5F04, SMSecretDungeonEnterVoteNotify
0x29FF, SMSecretDungeonInfoNotify
0x6A56, SMSecretDungeonNextRoomVoteNotify
0x2ECB, SMSecurityQuestion
0x557F, SMServerFailureNotify
0x73B5, SMServerTimeNotify
0x45E0, SMShipActivateResult
0x3F3C, SMShipAddResult
0x841C, SMShipAnchorChangeNotify
0x652, SMShipAvatarRemoveNotify
0x8E16, SMShipAvatarUpdateNotify
0x8E2A, SMShipBoostGaugeNotify
0x494C, SMShipChangeNotify
0xA750, SMShipLevelUpResult
0xA5B4, SMShipMajorUpdate
0x5294, SMShipMinorUpdate
0x88A3, SMShipNameChangeResult
0x8265, SMShipRemoveResult
0x2386, SMShipRepairResult
0x7CC3, SMShipResupplyResult
0x7D3E, SMShipSkillNotify
0x6470, SMShipUpdateResult
0x7641, SMShopBuyResult
0x23F4, SMShopOpenResult
0xD0AB, SMShopRedeemResult
0xE46A, SMShopRepairResult
0x1539, SMShopSellResult
0x7FA7, SMSkillAddNotify
0xBB80, SMSkillCancelNotify
0x7900, SMSkillCastNotify
0xA221, SMSkillCooldownListNotify
0x181, SMSkillCooldownNotify
0x1657, SMSkillDamageAbnormalMoveListNotify
0x7A6A, SMSkillDamageListNotify
0x38FC, SMSkillEffectNotify
0x802, SMSkillEffectResult
0x750F, SMSkillError
0xDDDD, SMSkillFinishNotify
0x1A71, SMSkillInitializeResult
0xB9C3, SMSkillLearnResult
0x8E6A, SMSkillListAddNotify
0x4C2F, SMSkillListRemoveNotify
0x7FAF, SMSkillListUpdateNotify
0xC2A1, SMSkillMemoryPosNotify
0xCC5F, SMSkillMoveNotify
0x6261, SMSkillPointUpdate
0x3F37, SMSkillPresetApplyResult
0xF4B, SMSkillPresetExpandResult
0x87C0, SMSkillPresetNameChangeResult
0xDC4B, SMSkillPresetResetResult
0x5970, SMSkillRemoveNotify
0x553D, SMSkillRotateNotify
0x48F, SMSkillStageNotify
0x2E3C, SMSkillStartNotify
0x1C91, SMSlaveLiberateRequestResult
0xD895, SMSmartPingNotify
0x6A1F, SMSmartPingResult
0x4A04, SMSquareHoleAddedNotify
0x5BC5, SMStagePerRewardFinishNotify
0x76F9, SMStagePerRewardTimeOutNotify
0xC0FA, SMStashExpandResult
0x46E, SMStatChangeListNotify
0x7289, SMStatChangeNotify
0x3F4A, SMStatChangeOriginNotify
0xA3CD, SMStationVolumeStateNotify
0x7B0C, SMStatusEffectAddNotify
0xCB3F, SMStatusEffectCooldownNotify
0xFC1, SMStatusEffectDamageNotify
0x82D, SMStatusEffectRemoveNotify
0x83CE, SMStatusEffectSyncDataNotify
0x2FA4, SMStockAddResult
0x9D2B, SMStockCancelResult
0x6CB, SMStockCartResult
0x8E59, SMStockOpenResult
0xB403, SMStockProductNotify
0xBC43, SMStockResultNotify
0x42EC, SMStockSearchResult
0x8BCF, SMStockTakeResult
0xBB54, SMSystemMessageNotify
0x4F8E, SMTeleportFinishNofity
0xBA00, SMTeleportNofity
0x933C, SMTimeSyncReply
0x7CDB, SMTokenItemUpdateNotify
0x65D8, SMTownBuildingProductionResult
0x6B6D, SMTownBuildingRelocateResult
0xE13A, SMTownBuildingUpdate
0xC49C, SMTownDefenceInfo
0x3B8F, SMTownDispatchActiveMissionUpdate
0x8A76, SMTownDispatchCrewRemovedNotify
0x3966, SMTownDispatchCrewUpdate
0x5894, SMTownDispatchMissionResultNotify
0x5806, SMTownDispatchNpcRemove
0xE7A2, SMTownDispatchNpcUpdate
0xA8B6, SMTownDispatchShipRemovedNotify
0xDAC2, SMTownDispatchShipUpdate
0xD4FB, SMTownExpUpdate
0x46B5, SMTownFundUpdate
0x3D7D, SMTownLevelUpdate
0xBAB, SMTownNpcCartNotify
0x433D, SMTownNpcDressRemoveNotify
0x4E46, SMTownNpcDressUpdate
0x7477, SMTownNpcPoolNotify
0xAFFE, SMTownNpcRemoveNotify
0xD294, SMTownNpcUpdate
0xB3C6, SMTownOwnerPCUpdate
0x8A49, SMTownProductionBoostResult
0xC56D, SMTownQuestRewardPointNotify
0x624, SMTownQuestSlotNotify
0x5223, SMTownRemainPopulationCapacityUpdate
0xBF1, SMTownResearchUpdate
0x30BA, SMTownResourceUpdate
0x8F92, SMTownSiteAreaRemove
0x885E, SMTownSiteAreaUpdate
0xD977, SMTownUpdate
0xBFDA, SMTraceDamageNotify
0x2D85, SMTrackMoveFinishNotify
0xC973, SMTrackMoveStartNotify
0x7FEA, SMTradeAcceptNotify
0xB702, SMTradeAddItemNotify
0x3994, SMTradeConfirmNotify
0x357F, SMTradeFinishNotify
0x561B, SMTradeLockNotify
0x8F43, SMTradeRemoveItemNotify
0xC806, SMTradeRequestNotify
0xDC01, SMTradeSetMoneyNotify
0xB3E3, SMTrainingModeActionResult
0x7594, SMTransitBoardNotify
0x30E2, SMTransitMoveNotify
0xC67D, SMTransitRotateNotify
0x9E1D, SMTransitStateNotify
0xA3F0, SMTransitStopNotify
0x76CD, SMTrapActivateNotify
0x6115, SMTrapStateNotify
0x2AE8, SMTriggerCompleteStepNotify
0xE769, SMTriggerFinishNotify
0xE7EC, SMTriggerStartNotify
0x4B8F, SMTriggerStepNotify
0xB48, SMTriggerStepResultNotify
0x4776, SMTriggerUnitCompletionStatus
0xA95C, SMTriggerUnitExecutionStatus
0x9AA9, SMTroopChangePartyLeaderResult
0xA2B6, SMTroopInfoChangeNotify
0x1C6, SMTroopInfo
0x2CB2, SMTroopInviteAnswerNotify
0x1B6, SMTroopInvitedNotify
0xCD5D, SMTroopLeaveResult
0xB611, SMTroopMemberUpdateMinNotify
0xCECC, SMTroopMemberUpdateNotify
0x5ED9, SMTroopReadyConfirmNotify
0xDB8A, SMTroopReadyNotify
0xD1DF, SMTroopToPartyResult
0xA04E, SMTroopTransferMemberResult
0x4D11, SMTroopUnitNameChangeResult
0xDF13, SMTrophyAuctionBidError
0x3BD7, SMTrophyAuctionBidNotify
0x40D9, SMTrophyAuctionBidResultNotify
0x2FBA, SMTrophyAuctionFinishNotify
0x2B62, SMTrophyAuctionNotify
0x6215, SMTrophyAuctionStartNotify
0x2525, SMUnsummonError
0xBBC8, SMVehicleRemoveNotify
0x5CD3, SMVehicleResourceChangeNotify
0xBEB8, SMVehicleStateNotify
0xEA1A, SMVehicleUpdateNotify
0x8DF5, SMVictoryCrestActivatePlateResult
0xD7B1, SMVictoryCrestAddNotify
0x5E47, SMVictoryCrestCommitPlateResult
0x4B48, SMVictoryCrestDicePlateResult
0xF60, SMVictoryCrestInscribeResult
0xA423, SMVictoryCrestSelectPlateResult
0x2857, SMVictoryCrestUpdatePlateNotify
0x6FEE, SMVoiceChatAuthNotify
0xBC6D, SMVoiceChatAuthResult
0x421, SMVolumePortalActivateError
0x9127, SMVoyageEventGaugeNotify
0xAA4C, SMVoyageEventNotify
0xB3F5, SMVoyageEventRemoveNotify
0x6EA, SMVoyageExplorationAddNotify
0x20CC, SMVoyageExplorationRemoveNotify
0x8768, SMVoyageExplorationUpdateNotify
0x2ECD, SMVoyageLinerEnterResult
0x9051, SMVoyageLinerRequestListResult
0xA003, SMVoyageLinerUpdateNotify
0xD61F, SMVoyageLuckNotify
0x3618, SMVoyageRecordUpdate
0xB123, SMVoyageSearchNotify
0x8142, SMVoyageSkillDivingNotify
0x202B, SMVoyageSkillDropNotify
0xA583, SMWallpaperAddNotify
0x3503, SMWallpaperChangeResult
0x8243, SMWallpaperRemoveNotify
0xCF88, SMWallpaperTouchResult
0x416D, SMWAPRankingBoardResult
0xA2DB, SMWAPRewardRequestResult
0x68FB, SMWarpPositionUpdateNoitfy
0x4E13, SMWorldCancelResult
0x5266, SMWorldWaitNotify
0xB13F, SMXignCodeQuestion
0x254D, SMZoneCastVoteResult
0x93C9, SMZoneChannelChangeResult
0x3C2D, SMZoneChannelQueryResult
0x9745, SMZoneFailNotify
0x4608, SMZoneLifetimeNotify
0x3B5B, SMZoneMemberLoadStatusNotify
0x1DE5, SMZoneObjectUnpublishNotify
0x1604, SMZonePieceAddNotify
0x35F, SMZonePieceRemoveNotify
0x7D5C, SMZoneStatusEffectAddNotify
0x7D1C, SMZoneStatusEffectDevDataNotify
0xDCB4, SMZoneStatusEffectRemoveNotify
0x90B8, SMZoneTraitNotify
0xD261, SMZoneVoteFinalResultNotify
